Solar, nuclear, hep, in eV^-1 cm^-2 s^-1 

    Energy[eV]       Flux min        Flux max
   7.6450000e+06   4.9960400e-04   9.6262985e-04
   7.6638000e+06   5.0044400e-04   9.6424835e-04
   7.6825000e+06   5.0127280e-04   9.6584527e-04
   7.7013000e+06   5.0209600e-04   9.6743140e-04
   7.7201000e+06   5.0291360e-04   9.6900674e-04
   7.7389000e+06   5.0372560e-04   9.7057129e-04
   7.7577000e+06   5.0452640e-04   9.7211426e-04
   7.7765000e+06   5.0532160e-04   9.7364644e-04
   7.7952000e+06   5.0611120e-04   9.7516783e-04
   7.8140000e+06   5.0688960e-04   9.7666764e-04
   7.8328000e+06   5.0766240e-04   9.7815666e-04
   7.8516000e+06   5.0842960e-04   9.7963489e-04
   7.8704000e+06   5.0918560e-04   9.8109154e-04
   7.8892000e+06   5.0993600e-04   9.8253740e-04
   7.9080000e+06   5.1068080e-04   9.8397247e-04
   7.9267000e+06   5.1142000e-04   9.8539675e-04
   7.9455000e+06   5.1214800e-04   9.8679945e-04
   7.9643000e+06   5.1286480e-04   9.8818057e-04
   7.9831000e+06   5.1358160e-04   9.8956169e-04
   8.0019000e+06   5.1428720e-04   9.9092123e-04
   8.0207000e+06   5.1498160e-04   9.9225919e-04
   8.0394000e+06   5.1567600e-04   9.9359715e-04
   8.0582000e+06   5.1635920e-04   9.9491353e-04
   8.0770000e+06   5.1703120e-04   9.9620833e-04
   8.0958000e+06   5.1770320e-04   9.9750313e-04
   8.1146000e+06   5.1836400e-04   9.9877635e-04
   8.1334000e+06   5.1901360e-04   1.0000280e-03
   8.1521000e+06   5.1965760e-04   1.0012688e-03
   8.1709000e+06   5.2029600e-04   1.0024989e-03
   8.1897000e+06   5.2092320e-04   1.0037074e-03
   8.2085000e+06   5.2154480e-04   1.0049051e-03
   8.2273000e+06   5.2216080e-04   1.0060920e-03
   8.2461000e+06   5.2276560e-04   1.0072573e-03
   8.2648000e+06   5.2336480e-04   1.0084118e-03
   8.2836000e+06   5.2395840e-04   1.0095556e-03
   8.3024000e+06   5.2454080e-04   1.0106777e-03
   8.3212000e+06   5.2511200e-04   1.0117783e-03
   8.3400000e+06   5.2568320e-04   1.0128789e-03
   8.3588000e+06   5.2624320e-04   1.0139579e-03
   8.3775000e+06   5.2679200e-04   1.0150153e-03
